Case_ID,Student_Age,Student_Background,Situation_Faced,Student_Feeling_Thought,Robots_Requested_Bedtime,Student_Wanted_Bedtime,Primary_Annoyance_Reason
1,16,High_Achiever,Physics Final Tomorrow,"Panic: formulas are a blur.",10:30 PM,2:00 AM,Fear of academic failure and disappointing parents.
2,14,Creative_Writer,History Paper Due at 8 AM,"Overwhelmed: blank page anxiety.",9:45 PM,1:30 AM,Perfectionism; cannot start without the "perfect" opening line.
3,18,College_Bound,App Essay Deadline in 48hrs,"Anxious: essay feels generic.",11:00 PM,3:00 AM,Identity crisis; feels essay doesn't represent "true self".
4,12,Math_Prodigy,Big Math Competition Tomorrow,"Excited: mind buzzing with strategies.",9:00 PM,11:30 PM,Physical over-arousal; body not tired despite late hour.
5,17,Social_Butterfly,Fight with Best Friend,"Upset: replaying every word.",10:00 PM,12:30 AM,Rumination loop; feels sleep equals "giving up" on solving the conflict.
6,15,Gamer,Online Game Finals Tonight,"FOMO: team is counting on me.",10:15 PM,1:00 AM,Strong sense of duty and loyalty to online teammates.
7,13,Binge_Watcher,New Show Season Finale,"Compelled: need closure on the plot.",9:30 PM,12:00 AM,Narrative obsession; inability to tolerate delayed gratification.
8,16,Anxious_Speaker,Presentation Not Rehearsed,"Embarrassed: fear of public humiliation.",10:45 PM,2:00 AM,Catastrophic thinking; believes a poor performance will define him.
9,14,Perfectionist,No Specific Deadline,"Generalized anxiety: 'I'm not doing enough'.",10:00 PM,1:00 AM,Guilt associated with "unproductive" leisure or sleep.
10,11,Sensitive_Child,Heard a Scary Noise,"Terrified: shadows look like monsters.",8:45 PM,10:30 PM,Hyper-vigilance; safety feels dependent on remaining alert.
11,17,Art_Student,Portfolio Review Tomorrow,"Dissatisfied: last piece feels incomplete.",11:00 PM,2:30 AM,Creative block coupled with high stakes evaluation.
12,13,Aspiring_YouTuber,Video Editing for a Challenge,"In the 'flow' state: losing track of time.",9:15 PM,12:45 AM,Creative immersion; stopping feels like breaking a magical state.
13,16,Student_Athlete,Championship Game Tomorrow,"Adrenaline rush from earlier practice.",10:00 PM,11:45 PM,Physiological arousal; body still in "competition mode".
14,15,Debate_Team_Captain,Important Case Brief Unfinished,"Pressure to lead and set an example.",10:30 PM,1:15 AM,Responsibility overload; feels like failing the team if unprepared.
15,12,New_Kid_at_School,First Field Trip Tomorrow,"Nervous excitement about social dynamics.",9:00 PM,10:45 PM,Social anxiety; rehearsing conversations and worrying about fitting in.
16,18,Part-time_Worker,Shift Tomorrow After School,"Dread of repetitive, exhausting job.",10:30 PM,12:15 AM,Avoidance; staying up feels like prolonging freedom before an unpleasant obligation.
17,14,Science_Fair_Contender,Experiment Results Are Inconclusive,"Desperate to re-analyze data now.",9:45 PM,1:00 AM,Problem-solving urgency; believes breakthrough is imminent with more time.
18,17,Music_Prodigy,Audition Tape Due,"Never satisfied with own performance.",11:00 PM,3:30 AM,Self-criticism; repeatedly records new takes, finding flaws in each.
19,13,Social_Media_Influencer,"'Streak' or daily post obligation.","Obsessed with maintaining online persona and metrics.",9:30 PM,12:30 AM,Addiction to validation; metrics (likes, streaks) feel like tangible achievements.
20,16,Carer_for_Sibling,Parents away, sibling is restless,"Worried and responsible.",10:00 PM,11:30 PM,Adultification; feels primary responsibility for another's well-being, can't "clock out".
21,15,Climate_Activist,Planning a School Strike Event,"Feeling the urgency of the cause.",10:15 PM,1:45 AM,Moral imperative; personal needs feel trivial compared to a global cause.
22,11,Fanfic_Writer,In the middle of writing a climax,"Characters 'won't let' them stop.",8:30 PM,10:15 PM,Narrative autonomy; feels like a vessel for characters who demand their story be told.
23,17,Test_Anxious,Standardized Practice Test Was Poor,"Shame and need to 'fix' it immediately.",10:45 PM,2:15 AM,Compensatory behavior; believes self-punishment (loss of sleep) is required for poor performance.
