Creditor Name,Debtor Name,Credit Type,Original Amount (USD),Outstanding Balance (USD),Creditor Target Days,Debtor Target Days,Days Overdue,Purchase Purpose,Reason for Overdue,Business Sector,Last Payment Date,Collateral,Recovery Stage,Cash Flow Situation,Business Impact Description,Proposed Solution,Recovery Probability (%),Interest Accrued (USD)
"Hughes, Ortiz and Hudson","Lopez, Jimenez and Mcmillan",Working Capital Loan,32947.55,15700,12,159,133,Tax payments,Client bankruptcy affecting receivables,disintermediate intuitive metrics,2025-03-29 07:48:10.602368,Inventory,Pre-Legal,Complete Breakdown,Develop such future participant glass. Product none research else. Direction entire account class. Effort business well tell back.,Collateral liquidation,55.666666666666664,686.4986301369862
Miller Inc,Wheeler-Porter,Equipment Financing,28571.75,15700,14,71,154,Manufacturing equipment,Supply chain disruption,enhance sticky content,2025-05-01 07:48:10.602368,Inventory,Pre-Collection,Chronic Shortage,Traditional let candidate. You rest shake attention add marriage program.,Equity conversion,48.666666666666664,794.8931506849315
Wilson-Anderson,Fuentes-York,Working Capital Loan,32990.46,15700,20,133,293,Tax payments,Key customer default,strategize proactive platforms,2025-04-12 07:48:10.602368,Accounts Receivable,Pre-Collection,Chronic Shortage,Create head design. Then agency outside reason fund fly.,Debt restructuring with extended terms,5.0,1512.3616438356164
"Shepherd, Hurst and Norris","Smith, Nichols and Walton",Business Line of Credit,31324.09,15700,14,94,341,Emergency expenses,Seasonal sales downturn,strategize bleeding-edge users,2025-06-07 07:48:10.602368,Personal Guarantee,Early Delinquency,Complete Breakdown,Our along soon. Test attack laugh prepare.,Third-party guarantee,5.0,1760.1205479452055
"Copeland, Alexander and Merritt","Delgado, Gross and Gibbs",Commercial Mortgage,40419.97,15700,5,107,78,Office building,Seasonal sales downturn,unleash global e-services,2025-05-16 07:48:10.602368,Equipment,Early Delinquency,Chronic Shortage,Thing reveal building here for. Style rate table side according. Sense nearly center whole simple listen support cost. Hit candidate particularly to.,Partial payment plan,74.0,402.6082191780822
"Burke, Benson and Gay","Smith, Banks and Adams",Commercial Mortgage,26942.56,15700,18,145,103,Retail space,Seasonal sales downturn,orchestrate dot-com synergies,2025-06-04 07:48:10.602368,Real Estate,Legal,Chronic Shortage,Work laugh bank us paper long technology. Agent after several staff threat. Evidence religious glass money lawyer.,Partial payment plan,65.66666666666666,531.6493150684931
"Thomas, Stevenson and Conner",Dixon-Cruz,Commercial Mortgage,27625.95,15700,17,77,53,Warehouse purchase,Key customer default,benchmark interactive initiatives,2025-05-08 07:48:10.602368,Personal Guarantee,Pre-Collection,Complete Breakdown,Ready treatment heavy industry. Music camera doctor.,Partial payment plan,82.33333333333333,273.5671232876712
"Grimes, Munoz and Cohen","Smith, Marsh and Johnston",Working Capital Loan,34112.03,15700,19,34,149,Marketing campaign,Natural disaster impact,re-intermediate B2C e-services,2025-04-21 07:48:10.602368,None,Late Delinquency,Temporary Disruption,Federal continue focus beautiful crime. Husband hold notice suffer prepare Mr.,Equity conversion,50.333333333333336,769.0849315068492
Gregory-Ray,Morgan-Morgan,Invoice Financing,36864.26,15700,8,165,64,Supplier payments,Natural disaster impact,engage proactive communities,2025-04-17 07:48:10.602368,Accounts Receivable,Late Delinquency,Chronic Shortage,Agent discuss various sign window. Apply politics front put surface score enjoy significant.,Collateral liquidation,78.66666666666667,330.34520547945203
Ballard-Hoover,"Morrison, Phillips and Morgan",Invoice Financing,40177.96,15700,12,32,255,Outstanding invoices,Regulatory compliance costs,cultivate magnetic synergies,2025-03-25 07:48:10.602368,Equipment,Write-Off,Temporary Disruption,Design animal side ok. Case third product give government oil. Hit white address data.,Partial payment plan,15.0,1316.2191780821918
